8DD3D116-80FE-401A-88BB-B2536FDA324D,0D1E63E9-CBFB-4546-A242-875C310083A5,Teknik Komputer
831AFBFF-039A-458B-8824-B97246421DAD,0D1E63E9-CBFB-4546-A242-875C310083A5,Teknik Lingkungan
D9F543E2-187F-404E-84E2-BA43365F9811,0D1E63E9-CBFB-4546-A242-875C310083A5,Kesehatan Lingkungan
5028F1E9-E954-4F62-9244-BAB2C3E3A475,0D1E63E9-CBFB-4546-A242-875C310083A5,Sistem Informasi
1F6177F3-A344-4DBF-B605-BC71C13DE827,0D1E63E9-CBFB-4546-A242-875C310083A5,Ekonomi Islam
8696F603-3BDD-467E-9B82-BDBE15184083,0D1E63E9-CBFB-4546-A242-875C310083A5,Farmasi
CD860BDB-F751-4ACD-9323-C0B67EC3E827,0D1E63E9-CBFB-4546-A242-875C310083A5,Teknik Biomedik
D5D36093-9656-43FE-BFCC-C1ED1873EECB,0D1E63E9-CBFB-4546-A242-875C310083A5,Ilmu Komputer
164114A3-0003-432C-BAED-C5A30C2270BC,0D1E63E9-CBFB-4546-A242-875C310083A5,Ilmu Administrasi Niaga
5EDF3B78-5C4E-4614-ADBF-C9F83D901F45,0D1E63E9-CBFB-4546-A242-875C310083A5,Sastra Belanda
E1A792C9-A2CD-4986-9862-CBA72107281E,0D1E63E9-CBFB-4546-A242-875C310083A5,Sastra Perancis
9201EBDF-276C-4BCD-898F-DA60A5E591B9,0D1E63E9-CBFB-4546-A242-875C310083A5,Biologi
9CAEE39A-F790-4480-950D-DAF02366ED33,0D1E63E9-CBFB-4546-A242-875C310083A5,Pendidikan Dokter Gigi
D81AFABE-8121-4B69-BD88-E1D9B1533F5C,0D1E63E9-CBFB-4546-A242-875C310083A5,Bahasa Dan Kebudayaan Korea
D807B813-C9F8-4691-8098-E288491A8D34,0D1E63E9-CBFB-4546-A242-875C310083A5,Teknik Perkapalan
57E3F946-6A95-4785-A333-E6E933485BDC,0D1E63E9-CBFB-4546-A242-875C310083A5,Ilmu Komunikasi
055FF4E9-6928-4DF4-B86C-E765D59B4323,0D1E63E9-CBFB-4546-A242-875C310083A5,Teknik Industri
92D92F44-B9E9-4B69-B742-E82240FAA897,0D1E63E9-CBFB-4546-A242-875C310083A5,Teknik Kimia
1426AF4A-22C5-42C5-A02D-F24ADB3FF7CF,0D1E63E9-CBFB-4546-A242-875C310083A5,Gizi
2E5C266D-40E8-42ED-B41D-F31A9A2DBC4C,0D1E63E9-CBFB-4546-A242-875C310083A5,Bisnis Islam
34DCAB30-13B2-4372-9A84-F79E28FA4DB3,0D1E63E9-CBFB-4546-A242-875C310083A5,Hukum Administrasi Negara
